episode,step,ep_reward,ep_length,ep_v,policy_loss,value_loss,entropy,approx_kl,clip_fraction,mean_reward_100,mean_length_100,mean_v_100,x_pos,coins,score,flag_get
1052,358400,596.72,317,-0.6238,-0.005519,2.191637,0.890895,0.013655,0.1099,559.46,347.0,-1.1158,1952,2,900,0
1053,358400,697.75,466,-0.6655,-0.005519,2.191637,0.890895,0.013655,0.1099,562.16,349.6,-1.1134,1792,0,300,0
1054,358400,418.5,294,-1.2705,-0.005519,2.191637,0.890895,0.013655,0.1099,559.3,348.0,-1.1163,1777,0,100,0
1055,358400,515.88,342,-1.1685,-0.005519,2.191637,0.890895,0.013655,0.1099,560.17,349.4,-1.1183,1789,1,500,0
1056,358400,654.47,311,-1.0302,-0.005519,2.191637,0.890895,0.013655,0.1099,561.58,349.0,-1.1185,1786,0,100,0
1057,360448,401.95,415,-1.3012,-0.003053,1.743898,0.866336,0.006619,0.0715,561.5,351.3,-1.1227,898,1,400,0
1058,360448,431.25,210,-0.9836,-0.003053,1.743898,0.866336,0.006619,0.0715,560.46,350.5,-1.1219,722,0,0,0
1059,360448,419.29,199,-0.989,-0.003053,1.743898,0.866336,0.006619,0.0715,557.94,348.9,-1.1214,722,0,0,0
1060,360448,674.44,386,-1.1426,-0.003053,1.743898,0.866336,0.006619,0.0715,559.7,350.2,-1.1195,1796,1,500,0
1061,360448,453.58,362,-1.2241,-0.003053,1.743898,0.866336,0.006619,0.0715,557.87,349.8,-1.1175,899,0,200,0
1062,360448,431.33,327,-1.231,-0.003053,1.743898,0.866336,0.006619,0.0715,555.56,349.1,-1.116,800,0,100,0
1063,362496,422.25,194,-1.0426,-0.004334,1.626564,0.818202,0.011385,0.0869,555.4,348.9,-1.1125,690,0,0,0
1064,362496,962.26,598,-1.1904,-0.004334,1.626564,0.818202,0.011385,0.0869,557.46,349.0,-1.1106,3161,1,18550,1
1065,362496,559.44,296,-1.1364,-0.004334,1.626564,0.818202,0.011385,0.0869,559.25,349.9,-1.1078,1791,1,600,0
1066,362496,662.9,325,-1.1246,-0.004334,1.626564,0.818202,0.011385,0.0869,559.23,348.8,-1.1045,1793,1,500,0
1067,362496,487.98,221,-1.1016,-0.004334,1.626564,0.818202,0.011385,0.0869,557.91,348.2,-1.1012,1535,1,300,0
1068,362496,431.11,302,-1.2629,-0.004334,1.626564,0.818202,0.011385,0.0869,556.79,348.2,-1.0989,1802,1,400,0
1069,362496,441.75,216,-1.1686,-0.004334,1.626564,0.818202,0.011385,0.0869,552.72,345.5,-1.0956,1792,0,100,0
1070,362496,413.34,190,-1.0153,-0.004334,1.626564,0.818202,0.011385,0.0869,553.15,345.4,-1.0897,676,0,0,0
1071,364544,417.05,193,-1.0728,-0.005298,3.470613,0.706003,0.014695,0.1025,553.12,345.3,-1.0838,685,0,0,0
1072,364544,590.98,302,-1.4706,-0.005298,3.470613,0.706003,0.014695,0.1025,553.62,344.7,-1.0813,1792,1,500,0
1073,364544,740.18,509,-1.5713,-0.005298,3.470613,0.706003,0.014695,0.1025,555.4,346.3,-1.0794,2851,0,200,0
1074,364544,819.45,410,-1.7557,-0.005298,3.470613,0.706003,0.014695,0.1025,552.32,342.0,-1.0807,2466,0,0,0
1075,364544,569.59,316,-1.8075,-0.005298,3.470613,0.706003,0.014695,0.1025,553.16,342.7,-1.0832,1960,2,900,0
1076,366592,723.64,594,-1.6614,-0.014117,1.871412,0.849549,0.042612,0.1177,554.95,344.5,-1.0839,2753,1,1100,0
1077,366592,417.18,198,-1.1846,-0.014117,1.871412,0.849549,0.042612,0.1177,554.29,343.5,-1.0848,695,0,0,0
1078,366592,435.89,284,-1.2484,-0.014117,1.871412,0.849549,0.042612,0.1177,552.15,342.3,-1.0874,802,0,100,0
1079,366592,661.98,449,-1.3281,-0.014117,1.871412,0.849549,0.042612,0.1177,551.7,343.1,-1.0911,1792,1,800,0
1080,366592,678.05,413,-1.0754,-0.014117,1.871412,0.849549,0.042612,0.1177,551.86,344.2,-1.093,2016,1,500,0
1081,368640,816.83,476,-1.1208,-0.004815,1.39626,0.832013,0.006395,0.0925,551.88,343.9,-1.093,2470,1,700,0
1082,368640,429.36,379,-1.1408,-0.004815,1.39626,0.832013,0.006395,0.0925,549.7,343.6,-1.0922,814,0,100,0
1083,368640,555.67,275,-0.9938,-0.004815,1.39626,0.832013,0.006395,0.0925,548.32,342.0,-1.0893,2021,1,400,0
1084,368640,421.0,201,-0.7951,-0.004815,1.39626,0.832013,0.006395,0.0925,546.84,340.6,-1.0838,722,0,0,0
1085,368640,800.29,640,-1.1914,-0.004815,1.39626,0.832013,0.006395,0.0925,548.33,343.6,-1.0829,2468,0,200,0
1086,368640,447.67,264,-1.0106,-0.004815,1.39626,0.832013,0.006395,0.0925,548.58,344.3,-1.0814,848,0,100,0
1087,368640,423.69,193,-0.86,-0.004815,1.39626,0.832013,0.006395,0.0925,547.96,343.6,-1.0768,722,0,0,0
1088,370688,573.38,350,-1.0711,-0.008433,1.593173,0.852146,0.013804,0.1025,549.45,345.0,-1.0744,1783,1,500,0
1089,370688,469.81,266,-0.9956,-0.008433,1.593173,0.852146,0.013804,0.1025,549.1,344.5,-1.0699,898,0,200,0
1090,370688,411.9,355,-1.1909,-0.008433,1.593173,0.852146,0.013804,0.1025,548.91,345.5,-1.0673,1785,1,700,0
1091,370688,444.69,256,-1.084,-0.008433,1.593173,0.852146,0.013804,0.1025,547.41,344.8,-1.0639,1780,0,100,0
1092,370688,550.91,387,-1.135,-0.008433,1.593173,0.852146,0.013804,0.1025,546.15,343.6,-1.0603,2016,1,700,0
1093,372736,675.41,642,-1.1937,-0.00629,1.078805,0.96828,0.00853,0.0908,547.1,346.6,-1.0595,2470,0,200,0
1094,372736,553.54,326,-0.8714,-0.00629,1.078805,0.96828,0.00853,0.0908,548.32,347.1,-1.0559,1126,0,600,0
1095,372736,613.21,456,-0.898,-0.00629,1.078805,0.96828,0.00853,0.0908,549.23,348.1,-1.052,1787,2,900,0
1096,372736,415.86,188,-0.2524,-0.00629,1.078805,0.96828,0.00853,0.0908,548.0,347.3,-1.0446,691,0,0,0
1097,372736,658.12,375,-0.4828,-0.00629,1.078805,0.96828,0.00853,0.0908,549.78,348.4,-1.039,1795,0,200,0
1098,372736,419.27,204,-0.5409,-0.00629,1.078805,0.96828,0.00853,0.0908,549.13,347.9,-1.0343,1786,0,300,0
1099,374784,849.27,540,-0.7156,-0.002707,1.984423,0.716055,0.007898,0.0784,552.69,349.8,-1.0302,2473,0,300,0
1100,374784,489.29,254,-0.7096,-0.002707,1.984423,0.716055,0.007898,0.0784,551.32,349.1,-1.0264,1522,0,100,0
1101,374784,420.5,233,-1.1449,-0.002707,1.984423,0.716055,0.007898,0.0784,551.81,349.5,-1.0262,1786,2,700,0
1102,374784,533.0,474,-1.0788,-0.002707,1.984423,0.716055,0.007898,0.0784,553.03,352.4,-1.0236,1800,0,400,0
1103,374784,411.01,184,-1.1313,-0.002707,1.984423,0.716055,0.007898,0.0784,552.64,351.5,-1.0204,679,0,0,0
1104,374784,423.08,252,-1.3071,-0.002707,1.984423,0.716055,0.007898,0.0784,551.45,351.1,-1.0193,1775,1,500,0
1105,376832,442.83,235,-1.2226,-0.002761,1.528927,0.909802,0.007639,0.0972,551.79,351.6,-1.0182,829,0,100,0
1106,376832,422.01,202,-1.0839,-0.002761,1.528927,0.909802,0.007639,0.0972,550.61,351.1,-1.0148,722,0,0,0
1107,376832,798.83,610,-1.2369,-0.002761,1.528927,0.909802,0.007639,0.0972,553.73,354.3,-1.0144,2753,2,900,0
1108,376832,772.8,633,-1.1889,-0.002761,1.528927,0.909802,0.007639,0.0972,555.63,357.3,-1.0153,2852,2,1000,0
1109,378880,429.92,227,-1.0014,-0.00388,1.099693,0.991589,0.011009,0.0952,553.39,356.2,-1.0154,1785,0,200,0
1110,378880,612.1,535,-1.1248,-0.00388,1.099693,0.991589,0.011009,0.0952,555.18,359.5,-1.0171,1793,3,1100,0
1111,378880,557.41,537,-1.1537,-0.00388,1.099693,0.991589,0.011009,0.0952,555.1,354.8,-1.0145,2473,1,600,0
1112,378880,409.05,187,-0.5545,-0.00388,1.099693,0.991589,0.011009,0.0952,554.97,354.7,-1.0109,674,0,0,0
1113,378880,647.0,476,-0.8691,-0.00388,1.099693,0.991589,0.011009,0.0952,556.57,356.9,-1.0098,1781,0,400,0
1114,378880,413.72,185,-0.5802,-0.00388,1.099693,0.991589,0.011009,0.0952,553.35,354.7,-1.0055,686,0,0,0
1115,378880,672.58,438,-0.7849,-0.00388,1.099693,0.991589,0.011009,0.0952,554.48,356.5,-1.0045,2014,0,400,0
1116,380928,544.45,256,-0.8798,-0.007738,1.432279,0.812825,0.015022,0.0896,555.68,356.4,-1.0029,1795,0,100,0
1117,380928,698.12,426,-0.947,-0.007738,1.432279,0.812825,0.015022,0.0896,551.56,353.8,-1.0021,1957,0,500,0
1118,380928,865.2,839,-0.9927,-0.007738,1.432279,0.812825,0.015022,0.0896,555.47,359.6,-1.0024,2761,2,900,0
1119,380928,510.64,430,-1.0736,-0.007738,1.432279,0.812825,0.015022,0.0896,553.96,360.9,-1.0034,1797,0,400,0
1120,382976,486.82,296,-0.9713,-0.00619,1.307764,1.012478,0.009281,0.1082,553.73,361.5,-0.9977,2024,1,500,0
1121,382976,711.76,388,-0.9677,-0.00619,1.307764,1.012478,0.009281,0.1082,554.82,362.1,-0.993,2472,2,1000,0
1122,382976,693.39,494,-1.0572,-0.00619,1.307764,1.012478,0.009281,0.1082,556.85,363.7,-0.9881,2467,1,1000,0
1123,382976,438.77,214,-0.7209,-0.00619,1.307764,1.012478,0.009281,0.1082,554.68,362.6,-0.9795,806,0,100,0
1124,382976,1032.73,712,-0.9391,-0.00619,1.307764,1.012478,0.009281,0.1082,560.38,367.2,-0.9741,3156,1,16100,1
1125,385024,411.26,391,-0.9693,-0.007143,1.326726,0.993903,0.013314,0.1028,558.16,367.6,-0.9693,1786,1,600,0
1126,385024,537.02,319,-0.9315,-0.007143,1.326726,0.993903,0.013314,0.1028,559.22,368.7,-0.9722,1787,1,700,0
1127,385024,702.17,367,-0.8874,-0.007143,1.326726,0.993903,0.013314,0.1028,561.68,369.9,-0.9732,1797,0,200,0
1128,385024,841.67,557,-1.0275,-0.007143,1.326726,0.993903,0.013314,0.1028,565.49,372.5,-0.9736,2850,0,700,0
1129,385024,512.32,276,-1.0018,-0.007143,1.326726,0.993903,0.013314,0.1028,565.63,371.7,-0.9751,1789,0,0,0
1130,387072,853.77,606,-1.1717,-0.005748,2.385811,0.851866,0.015861,0.1038,570.5,375.2,-0.9793,2471,0,400,0
1131,387072,427.49,199,-1.2935,-0.005748,2.385811,0.851866,0.015861,0.1038,565.14,364.7,-0.9786,1798,0,200,0
1132,387072,508.5,313,-1.4965,-0.005748,2.385811,0.851866,0.015861,0.1038,563.54,364.3,-0.9893,1787,2,1100,0
1133,387072,432.47,238,-1.4677,-0.005748,2.385811,0.851866,0.015861,0.1038,563.63,362.5,-0.9969,1802,0,200,0
1134,389120,1045.36,913,-1.235,-0.007674,1.287606,1.16883,0.019177,0.1284,567.07,363.5,-0.9997,3157,3,20550,1
1135,389120,720.47,506,-1.4228,-0.007674,1.287606,1.16883,0.019177,0.1284,569.68,366.0,-1.0085,2752,2,600,0
1136,389120,761.77,377,-0.7791,-0.007674,1.287606,1.16883,0.019177,0.1284,570.49,364.3,-1.0086,1787,0,400,0
1137,389120,651.07,327,-0.4939,-0.007674,1.287606,1.16883,0.019177,0.1284,571.11,364.0,-1.006,1787,0,400,0
1138,389120,662.64,322,-0.4311,-0.007674,1.287606,1.16883,0.019177,0.1284,571.16,363.5,-1.0032,1786,0,100,0
1139,389120,476.14,238,-0.5492,-0.007674,1.287606,1.16883,0.019177,0.1284,571.64,363.8,-1.0039,2013,0,0,0
1140,391168,551.62,290,-0.8601,-0.001111,2.253817,0.818393,0.011534,0.0815,572.04,364.0,-1.0044,1127,0,200,0
1141,391168,1196.32,951,-1.1529,-0.001111,2.253817,0.818393,0.011534,0.0815,578.56,370.1,-1.0048,3161,6,20500,1
1142,391168,540.58,302,-1.2596,-0.001111,2.253817,0.818393,0.011534,0.0815,578.78,369.5,-1.0063,1785,1,500,0
1143,391168,604.3,370,-1.1323,-0.001111,2.253817,0.818393,0.011534,0.0815,580.08,370.6,-1.0072,1951,0,300,0
1144,391168,459.2,265,-1.345,-0.001111,2.253817,0.818393,0.011534,0.0815,580.79,371.4,-1.0105,836,0,100,0
1145,391168,429.28,239,-1.2981,-0.001111,2.253817,0.818393,0.011534,0.0815,579.43,370.9,-1.0167,1787,0,100,0
1146,393216,411.89,189,-1.2639,-0.005246,2.407684,0.872498,0.007108,0.0845,578.12,369.0,-1.0221,676,0,0,0
1147,393216,545.23,432,-1.3891,-0.005246,2.407684,0.872498,0.007108,0.0845,579.37,371.4,-1.037,898,0,400,0
1148,393216,534.41,342,-1.3722,-0.005246,2.407684,0.872498,0.007108,0.0845,574.25,362.8,-1.0413,1795,0,300,0
1149,393216,687.63,504,-1.4099,-0.005246,2.407684,0.872498,0.007108,0.0845,575.53,364.2,-1.0525,1781,1,700,0
1150,393216,465.53,253,-1.3533,-0.005246,2.407684,0.872498,0.007108,0.0845,575.98,364.8,-1.0656,898,0,100,0
1151,395264,660.14,443,-1.389,-0.003115,1.563432,0.912622,0.005956,0.083,577.27,366.6,-1.075,2467,0,800,0
1152,395264,715.31,389,-1.3072,-0.003115,1.563432,0.912622,0.005956,0.083,578.46,367.3,-1.0818,2748,3,1000,0
1153,395264,704.39,413,-1.2417,-0.003115,1.563432,0.912622,0.005956,0.083,578.53,366.8,-1.0876,2020,1,800,0
1154,395264,424.53,228,-1.0589,-0.003115,1.563432,0.912622,0.005956,0.083,578.59,366.1,-1.0855,1780,0,200,0
1155,395264,439.22,287,-0.947,-0.003115,1.563432,0.912622,0.005956,0.083,577.82,365.6,-1.0832,814,0,100,0
1156,395264,447.04,230,-0.8825,-0.003115,1.563432,0.912622,0.005956,0.083,575.75,364.8,-1.0818,795,0,100,0
1157,395264,454.75,358,-1.037,-0.003115,1.563432,0.912622,0.005956,0.083,576.27,364.2,-1.0791,898,0,200,0
1158,397312,415.64,190,-0.8475,-0.002934,1.915441,0.757114,0.006494,0.0532,576.12,364.0,-1.0778,691,0,0,0
1159,397312,789.55,413,-1.009,-0.002934,1.915441,0.757114,0.006494,0.0532,579.82,366.1,-1.078,2468,0,500,0
1160,397312,420.4,195,-0.9494,-0.002934,1.915441,0.757114,0.006494,0.0532,577.28,364.2,-1.076,722,0,0,0
1161,397312,560.23,351,-1.3382,-0.002934,1.915441,0.757114,0.006494,0.0532,578.35,364.1,-1.0772,2025,1,700,0
1162,397312,733.82,423,-1.3206,-0.002934,1.915441,0.757114,0.006494,0.0532,581.37,365.1,-1.0781,1783,0,800,0
1163,397312,806.86,425,-1.2703,-0.002934,1.915441,0.757114,0.006494,0.0532,585.22,367.4,-1.0803,2471,1,700,0
1164,399360,990.77,611,-1.2202,-0.005855,2.358063,0.872904,0.00914,0.0769,585.5,367.5,-1.0806,3157,3,21600,1
1165,399360,411.66,189,-1.3121,-0.005855,2.358063,0.872904,0.00914,0.0769,584.02,366.4,-1.0824,675,0,0,0
1166,399360,471.33,226,-1.4072,-0.005855,2.358063,0.872904,0.00914,0.0769,582.11,365.4,-1.0852,2019,0,100,0
1167,399360,459.28,250,-1.5238,-0.005855,2.358063,0.872904,0.00914,0.0769,581.82,365.7,-1.0894,899,0,100,0
1168,399360,730.8,461,-1.5306,-0.005855,2.358063,0.872904,0.00914,0.0769,584.82,367.3,-1.0921,2021,1,500,0
1169,401408,657.53,406,-1.3816,-0.003001,1.331565,0.906059,0.011155,0.0823,586.98,369.2,-1.0942,1781,1,600,0
1170,401408,553.24,329,-1.2026,-0.003001,1.331565,0.906059,0.011155,0.0823,588.38,370.6,-1.0961,1793,0,100,0
1171,401408,676.84,331,-0.8524,-0.003001,1.331565,0.906059,0.011155,0.0823,590.97,372.0,-1.0939,2020,1,600,0
1172,401408,409.69,190,-0.4121,-0.003001,1.331565,0.906059,0.011155,0.0823,589.16,370.9,-1.0833,674,0,0,0
1173,403456,428.14,464,-0.8774,-0.006514,1.089564,1.088677,0.010638,0.1099,586.04,370.4,-1.0764,838,0,100,0
1174,403456,585.36,368,-0.8124,-0.006514,1.089564,1.088677,0.010638,0.1099,583.7,370.0,-1.067,2021,1,400,0
1175,403456,409.25,184,-0.6516,-0.006514,1.089564,1.088677,0.010638,0.1099,582.1,368.7,-1.0554,679,0,0,0
1176,403456,465.04,267,-0.7706,-0.006514,1.089564,1.088677,0.010638,0.1099,579.51,365.4,-1.0465,1961,0,300,0
1177,403456,586.99,348,-0.7632,-0.006514,1.089564,1.088677,0.010638,0.1099,581.21,366.9,-1.0423,2027,1,500,0
1178,403456,947.35,1515,-1.2614,-0.006514,1.089564,1.088677,0.010638,0.1099,586.32,379.2,-1.0424,3154,1,12000,1
1179,405504,446.06,243,-0.7386,-0.00606,1.225701,0.979773,0.009406,0.1079,584.16,377.2,-1.0365,819,0,100,0
1180,405504,751.03,360,-0.7697,-0.00606,1.225701,0.979773,0.009406,0.1079,584.89,376.6,-1.0335,2751,1,500,0
1181,405504,562.02,422,-0.8656,-0.00606,1.225701,0.979773,0.009406,0.1079,582.34,376.1,-1.0309,1781,0,500,0
1182,405504,444.23,240,-0.7832,-0.00606,1.225701,0.979773,0.009406,0.1079,582.49,374.7,-1.0273,826,0,100,0
1183,405504,551.9,281,-0.7848,-0.00606,1.225701,0.979773,0.009406,0.1079,582.46,374.8,-1.0252,1791,1,400,0
1184,405504,600.95,482,-0.8883,-0.00606,1.225701,0.979773,0.009406,0.1079,584.25,377.6,-1.0262,1797,0,500,0
1185,407552,430.39,457,-0.9992,-0.004223,1.270515,0.879389,0.009945,0.0803,580.56,375.7,-1.0243,845,0,100,0
1186,407552,663.16,538,-0.9409,-0.004223,1.270515,0.879389,0.009945,0.0803,582.71,378.5,-1.0236,2026,0,200,0
1187,407552,768.0,402,-0.8874,-0.004223,1.270515,0.879389,0.009945,0.0803,586.15,380.6,-1.0238,2758,0,600,0
1188,407552,415.14,189,-0.8595,-0.004223,1.270515,0.879389,0.009945,0.0803,584.57,379.0,-1.0217,688,0,0,0
1189,407552,442.66,218,-0.9095,-0.004223,1.270515,0.879389,0.009945,0.0803,584.3,378.5,-1.0209,799,0,100,0
1190,409600,413.24,188,-0.9682,-0.004468,1.425785,0.892662,0.006591,0.0798,584.31,376.8,-1.0186,688,0,100,0
1191,409600,688.64,497,-1.0485,-0.004468,1.425785,0.892662,0.006591,0.0798,586.75,379.2,-1.0183,2466,0,500,0
1192,409600,411.84,183,-1.0026,-0.004468,1.425785,0.892662,0.006591,0.0798,585.36,377.2,-1.0169,681,0,0,0
1193,409600,692.59,436,-1.0748,-0.004468,1.425785,0.892662,0.006591,0.0798,585.53,375.1,-1.0158,1783,1,600,0
1194,409600,1222.84,918,-1.0074,-0.004468,1.425785,0.892662,0.006591,0.0798,592.23,381.0,-1.0171,3157,2,16350,1
1195,411648,410.02,189,-1.0185,-0.004212,2.071441,0.72799,0.009568,0.0752,590.2,378.4,-1.0183,674,0,0,0
1196,411648,408.88,185,-1.0299,-0.004212,2.071441,0.72799,0.009568,0.0752,590.13,378.3,-1.0261,678,0,0,0
1197,411648,549.06,432,-1.2179,-0.004212,2.071441,0.72799,0.009568,0.0752,589.03,378.9,-1.0335,1132,0,200,0
1198,411648,409.81,184,-1.0973,-0.004212,2.071441,0.72799,0.009568,0.0752,588.94,378.7,-1.039,680,0,0,0
1199,411648,467.0,257,-1.3509,-0.004212,2.071441,0.72799,0.009568,0.0752,585.12,375.9,-1.0454,899,0,100,0
1200,411648,589.07,317,-1.3396,-0.004212,2.071441,0.72799,0.009568,0.0752,586.12,376.5,-1.0517,2013,1,800,0
1201,413696,950.01,579,-1.3809,-0.008314,2.884702,0.707096,0.015774,0.0962,591.41,380.0,-1.054,3157,0,16700,1
1202,413696,442.96,283,-1.4828,-0.008314,2.884702,0.707096,0.015774,0.0962,590.51,378.1,-1.0581,827,0,100,0
1203,413696,1123.68,708,-1.3634,-0.008314,2.884702,0.707096,0.015774,0.0962,597.64,383.3,-1.0604,3156,0,16600,1
1204,413696,548.58,365,-1.6935,-0.008314,2.884702,0.707096,0.015774,0.0962,598.89,384.4,-1.0643,1142,0,500,0
1205,413696,443.94,222,-1.5924,-0.008314,2.884702,0.707096,0.015774,0.0962,598.9,384.3,-1.068,814,0,200,0
1206,415744,1202.4,786,-1.4475,-0.006746,1.65964,1.091093,0.013786,0.0781,606.71,390.1,-1.0716,3157,3,21000,1
1207,415744,408.72,181,-1.0082,-0.006746,1.65964,1.091093,0.013786,0.0781,602.81,385.9,-1.0693,680,0,0,0
1208,415744,415.02,191,-0.8408,-0.006746,1.65964,1.091093,0.013786,0.0781,599.23,381.4,-1.0658,681,0,0,0
1209,415744,443.09,233,-0.9788,-0.006746,1.65964,1.091093,0.013786,0.0781,599.36,381.5,-1.0656,809,0,100,0
1210,415744,688.07,464,-1.2081,-0.006746,1.65964,1.091093,0.013786,0.0781,600.12,380.8,-1.0664,1796,0,300,0
1211,417792,836.69,986,-1.4232,-0.002771,1.034736,1.013715,0.005665,0.0798,602.91,385.3,-1.0691,2753,0,300,0
1212,417792,653.35,432,-0.8592,-0.002771,1.034736,1.013715,0.005665,0.0798,605.35,387.7,-1.0722,1788,0,200,0
1213,417792,663.31,321,-0.7777,-0.002771,1.034736,1.013715,0.005665,0.0798,605.52,386.2,-1.0713,2472,0,200,0
1214,417792,662.51,402,-0.7677,-0.002771,1.034736,1.013715,0.005665,0.0798,608.01,388.3,-1.0731,1797,0,400,0
1215,417792,480.12,336,-0.7391,-0.002771,1.034736,1.013715,0.005665,0.0798,606.08,387.3,-1.0727,2038,1,500,0
1216,417792,411.62,187,-0.3863,-0.002771,1.034736,1.013715,0.005665,0.0798,604.75,386.6,-1.0677,680,0,0,0
1217,419840,431.32,323,-0.7868,-0.002901,1.765959,0.820165,0.009198,0.1062,602.08,385.6,-1.0661,815,0,200,0
1218,419840,439.88,227,-0.7756,-0.002901,1.765959,0.820165,0.009198,0.1062,597.83,379.5,-1.064,799,0,100,0
1219,419840,545.28,272,-0.8115,-0.002901,1.765959,0.820165,0.009198,0.1062,598.18,377.9,-1.0613,1798,0,200,0
1220,419840,436.26,218,-1.0987,-0.002901,1.765959,0.820165,0.009198,0.1062,597.67,377.1,-1.0626,1815,1,300,0
1221,421888,716.1,465,-1.1454,-0.006228,1.057322,1.035778,0.006418,0.0793,597.72,377.9,-1.0644,2751,3,1100,0
1222,421888,414.1,197,-0.7001,-0.006228,1.057322,1.035778,0.006418,0.0793,594.92,374.9,-1.0608,677,0,0,0
1223,421888,529.41,475,-1.1146,-0.006228,1.057322,1.035778,0.006418,0.0793,595.83,377.5,-1.0648,1786,0,100,0
1224,421888,935.26,976,-1.0552,-0.006228,1.057322,1.035778,0.006418,0.0793,594.85,380.2,-1.0659,2469,3,2900,0
1225,421888,553.43,309,-0.3471,-0.006228,1.057322,1.035778,0.006418,0.0793,596.28,379.4,-1.0597,1798,0,300,0
1226,421888,451.43,359,-0.5532,-0.006228,1.057322,1.035778,0.006418,0.0793,595.42,379.8,-1.0559,886,0,100,0
1227,423936,910.75,481,-0.4407,-0.00586,1.464597,0.862991,0.009152,0.0696,597.51,380.9,-1.0514,3149,1,18150,1
1228,423936,516.53,441,-0.7203,-0.00586,1.464597,0.862991,0.009152,0.0696,594.25,379.7,-1.0484,856,0,400,0
1229,423936,550.09,337,-0.7545,-0.00586,1.464597,0.862991,0.009152,0.0696,594.63,380.3,-1.0459,1795,0,200,0
1230,423936,409.63,208,-0.891,-0.00586,1.464597,0.862991,0.009152,0.0696,590.19,376.4,-1.0431,676,0,0,0
1231,423936,707.33,423,-0.9607,-0.00586,1.464597,0.862991,0.009152,0.0696,592.99,378.6,-1.0398,2019,1,500,0
1232,425984,546.16,432,-1.0357,-0.003619,1.033858,1.052863,0.009399,0.0823,593.37,379.8,-1.0352,2024,2,1000,0
1233,425984,753.38,781,-1.0695,-0.003619,1.033858,1.052863,0.009399,0.0823,596.58,385.2,-1.0312,2471,0,300,0
1234,425984,419.91,193,-0.6523,-0.003619,1.033858,1.052863,0.009399,0.0823,590.32,378.0,-1.0253,722,0,0,0
1235,425984,426.75,225,-0.6833,-0.003619,1.033858,1.052863,0.009399,0.0823,587.38,375.2,-1.018,1792,0,0,0
1236,425984,707.63,413,-0.7396,-0.003619,1.033858,1.052863,0.009399,0.0823,586.84,375.6,-1.0176,2036,1,600,0
1237,425984,584.79,368,-0.7296,-0.003619,1.033858,1.052863,0.009399,0.0823,586.18,376.0,-1.0199,2017,0,200,0
1238,425984,667.99,330,-0.6761,-0.003619,1.033858,1.052863,0.009399,0.0823,586.23,376.1,-1.0224,2471,0,300,0
1239,428032,409.22,181,-0.6443,-0.003926,2.54473,0.727864,0.0081,0.0903,585.56,375.5,-1.0233,680,0,0,0
1240,428032,410.17,189,-1.3041,-0.003926,2.54473,0.727864,0.0081,0.0903,584.15,374.5,-1.0278,674,0,0,0
1241,428032,409.59,187,-1.4261,-0.003926,2.54473,0.727864,0.0081,0.0903,576.28,366.8,-1.0305,674,0,0,0
1242,428032,702.53,344,-1.1323,-0.003926,2.54473,0.727864,0.0081,0.0903,577.9,367.3,-1.0292,2019,0,100,0
1243,428032,801.08,452,-1.1977,-0.003926,2.54473,0.727864,0.0081,0.0903,579.87,368.1,-1.0299,1796,0,600,0
1244,428032,416.26,188,-1.4256,-0.003926,2.54473,0.727864,0.0081,0.0903,579.44,367.3,-1.0307,691,0,0,0
1245,430080,411.11,186,-1.4362,-0.004509,2.695878,0.656269,0.009531,0.0894,579.26,366.8,-1.0321,680,0,0,0
1246,430080,661.71,347,-1.4754,-0.004509,2.695878,0.656269,0.009531,0.0894,581.76,368.4,-1.0342,2466,1,800,0
1247,430080,502.11,349,-1.5916,-0.004509,2.695878,0.656269,0.009531,0.0894,581.33,367.5,-1.0362,1800,0,200,0
1248,430080,538.32,328,-1.5579,-0.004509,2.695878,0.656269,0.009531,0.0894,581.36,367.4,-1.0381,1784,0,400,0
1249,430080,462.2,247,-1.5789,-0.004509,2.695878,0.656269,0.009531,0.0894,579.11,364.8,-1.0397,898,0,100,0
1250,430080,505.93,240,-1.4894,-0.004509,2.695878,0.656269,0.009531,0.0894,579.51,364.7,-1.0411,1798,0,200,0
1251,430080,491.55,400,-1.7434,-0.004509,2.695878,0.656269,0.009531,0.0894,577.83,364.3,-1.0446,899,0,200,0
1252,432128,660.06,511,-1.5637,-0.00348,1.633767,0.84746,0.008408,0.0737,577.28,365.5,-1.0472,2018,1,600,0
1253,432128,428.24,224,-1.161,-0.00348,1.633767,0.84746,0.008408,0.0737,574.51,363.6,-1.0464,1790,0,100,0
1254,432128,841.75,394,-1.2729,-0.00348,1.633767,0.84746,0.008408,0.0737,578.69,365.2,-1.0485,2469,0,200,0
1255,432128,702.03,364,-0.9504,-0.00348,1.633767,0.84746,0.008408,0.0737,581.31,366.0,-1.0486,2469,0,100,0
1256,434176,538.07,330,-1.055,-0.007951,1.716962,1.043328,0.016069,0.116,582.22,367.0,-1.0503,1795,0,100,0
1257,434176,1038.43,778,-1.2698,-0.007951,1.716962,1.043328,0.016069,0.116,588.06,371.2,-1.0526,3161,1,18050,1
1258,434176,562.56,413,-1.1656,-0.007951,1.716962,1.043328,0.016069,0.116,589.53,373.4,-1.0558,2020,0,200,0
1259,434176,408.06,185,-0.7869,-0.007951,1.716962,1.043328,0.016069,0.116,585.72,371.2,-1.0536,673,0,0,0
