episode,step,ep_reward,ep_length,ep_v,policy_loss,value_loss,entropy,approx_kl,clip_fraction,mean_reward_100,mean_length_100,mean_v_100,x_pos,coins,score,flag_get
47,26624,619.41,435,-1.1777,-0.005252,2.110774,1.673524,0.008334,0.1255,478.21,494.1,-0.9354,1138,3,800,0
48,26624,590.0,521,-1.2491,-0.005252,2.110774,1.673524,0.008334,0.1255,480.49,494.7,-0.9418,1127,0,300,0
49,26624,562.88,425,-1.2742,-0.005252,2.110774,1.673524,0.008334,0.1255,482.14,493.3,-0.9484,899,0,400,0
50,26624,597.69,543,-1.3919,-0.005252,2.110774,1.673524,0.008334,0.1255,484.4,494.2,-0.9571,1431,1,600,0
51,26624,357.2,217,-1.4704,-0.005252,2.110774,1.673524,0.008334,0.1255,481.96,488.9,-0.967,1438,0,300,0
52,26624,359.62,273,-1.4924,-0.005252,2.110774,1.673524,0.008334,0.1255,479.65,484.8,-0.9769,1437,1,400,0
53,26624,539.77,388,-1.5012,-0.005252,2.110774,1.673524,0.008334,0.1255,480.76,483.0,-0.9866,1149,0,100,0
54,28672,352.2,274,-1.5157,0.001377,1.8039,1.683864,0.003736,0.0425,478.42,479.2,-0.9962,1124,3,800,0
55,28672,452.88,307,-1.4933,0.001377,1.8039,1.683864,0.003736,0.0425,477.97,476.2,-1.0051,1515,0,500,0
56,28672,275.16,188,-1.4704,0.001377,1.8039,1.683864,0.003736,0.0425,474.41,471.1,-1.0133,688,2,400,0
57,28672,565.65,504,-1.5377,0.001377,1.8039,1.683864,0.003736,0.0425,475.98,471.7,-1.0223,1128,1,700,0
58,30720,573.43,609,-1.514,0.000637,1.323241,1.68486,0.003657,0.0613,477.64,474.0,-1.0306,1128,2,1000,0
59,30720,473.11,433,-1.5176,0.000637,1.323241,1.68486,0.003657,0.0613,477.56,473.3,-1.0388,1135,2,700,0
60,30720,253.88,147,-1.0642,0.000637,1.323241,1.68486,0.003657,0.0613,473.89,468.0,-1.0392,677,3,700,0
61,30720,594.27,422,-1.2248,0.000637,1.323241,1.68486,0.003657,0.0613,475.83,467.2,-1.0422,1127,0,200,0
62,30720,673.42,515,-1.2575,0.000637,1.323241,1.68486,0.003657,0.0613,478.97,468.0,-1.0456,2753,2,800,0
63,30720,433.43,311,-1.1051,0.000637,1.323241,1.68486,0.003657,0.0613,478.26,465.5,-1.0465,1438,3,900,0
64,30720,566.35,462,-1.1087,0.000637,1.323241,1.68486,0.003657,0.0613,479.61,465.5,-1.0475,1128,0,500,0
65,32768,357.75,262,-1.1763,-0.00333,2.434378,1.67348,0.006582,0.1123,477.77,462.4,-1.0494,691,1,200,0
66,32768,381.92,237,-1.1703,-0.00333,2.434378,1.67348,0.006582,0.1123,476.34,459.0,-1.0512,1433,1,400,0
67,32768,255.23,168,-1.6024,-0.00333,2.434378,1.67348,0.006582,0.1123,473.09,454.8,-1.0593,665,3,600,0
68,32768,369.73,215,-1.6156,-0.00333,2.434378,1.67348,0.006582,0.1123,471.59,451.3,-1.0674,703,3,600,0
69,32768,498.41,411,-1.5911,-0.00333,2.434378,1.67348,0.006582,0.1123,471.97,450.7,-1.0749,885,0,100,0
70,32768,410.75,335,-1.6456,-0.00333,2.434378,1.67348,0.006582,0.1123,471.11,449.1,-1.0829,848,1,400,0
71,34816,504.37,500,-1.6306,-0.001449,1.425924,1.717007,0.006932,0.0532,471.57,449.8,-1.0905,1125,0,400,0
72,34816,360.68,218,-1.0397,-0.001449,1.425924,1.717007,0.006932,0.0532,470.05,446.6,-1.0898,707,1,300,0
73,34816,562.59,501,-1.2696,-0.001449,1.425924,1.717007,0.006932,0.0532,471.3,447.3,-1.0923,1125,1,700,0
74,34816,489.23,449,-1.1084,-0.001449,1.425924,1.717007,0.006932,0.0532,471.54,447.4,-1.0925,1124,0,400,0
75,34816,776.46,768,-1.3176,-0.001449,1.425924,1.717007,0.006932,0.0532,475.55,451.6,-1.0954,1222,1,1100,0
76,36864,395.31,270,-1.1016,-0.009209,1.38072,1.65111,0.009047,0.1082,474.51,449.2,-1.0955,858,0,200,0
77,36864,453.04,251,-1.2105,-0.009209,1.38072,1.65111,0.009047,0.1082,474.24,446.7,-1.097,701,1,400,0
78,36864,405.97,333,-1.2662,-0.009209,1.38072,1.65111,0.009047,0.1082,473.37,445.2,-1.0991,828,0,100,0
79,36864,600.67,531,-1.238,-0.009209,1.38072,1.65111,0.009047,0.1082,474.96,446.3,-1.1009,1125,0,500,0
80,36864,495.45,627,-1.2707,-0.009209,1.38072,1.65111,0.009047,0.1082,475.22,448.5,-1.103,899,1,600,0
81,36864,353.62,239,-1.2138,-0.009209,1.38072,1.65111,0.009047,0.1082,473.73,446.0,-1.1043,694,3,600,0
82,38912,432.45,410,-1.0646,-0.000305,1.360874,1.672331,0.005315,0.0337,473.24,445.6,-1.1038,841,2,600,0
83,38912,394.49,400,-1.0324,-0.000305,1.360874,1.672331,0.005315,0.0337,472.3,445.0,-1.103,898,0,200,0
84,38912,536.08,359,-0.9738,-0.000305,1.360874,1.672331,0.005315,0.0337,473.05,444.0,-1.1015,1510,1,500,0
85,38912,455.77,398,-1.0174,-0.000305,1.360874,1.672331,0.005315,0.0337,472.85,443.5,-1.1005,1126,0,300,0
86,40960,381.41,307,-0.9599,-0.00052,1.481549,1.66665,0.004437,0.0461,471.8,441.9,-1.0989,813,1,400,0
87,40960,468.79,275,-1.0866,-0.00052,1.481549,1.66665,0.004437,0.0461,471.76,440.0,-1.0987,1124,1,500,0
88,40960,497.52,305,-1.0949,-0.00052,1.481549,1.66665,0.004437,0.0461,472.05,438.5,-1.0987,1435,0,300,0
